,text
27,"Sloppy Joes <|startofingre|> 1 1/2 pounds ground beef, 1 onion, chopped, 2 cloves garlic, minced, salt and pepper to taste, 4 hamburger buns, split, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
In a large skillet over medium-high heat, cook and stir beef, onion and garlic until beef is evenly brown. Drain excess grease. Season with salt, pepper and a little salt.
Arrange the beef mixture in a 9x13 inch baking dish. Top with the bun halves. Bake in the preheated oven for 30 minutes, or until heated through and lightly browned. Serve with your favorite dippers!
 <|endofrecipe|>"
28,"TooCreamy Cauliflower Soup <|startofingre|> 1 head cauliflower, cut into florets, 2 tablespoons butter, 1/4 cup all-purpose flour, 3 cups milk, salt and ground black pepper to taste, <|startofinstruc|> Place a steamer insert into a saucepan and fill with water to just below the bottom of the steaming insert. Cover and bring to a boil over high heat. Add the whole head broccoli, cover, and steam until tender, about 5 minutes.
Melt the butter in a large pot over medium heat; whisk in the flour until smooth. Gradually whisk the milk into the roux, whisking constantly, until the mixture is thickened and bubbling, 5 to 10 minutes more. Season with salt, pepper and more flour, if desired. Serve hot, sprinkled with fresh chopped parsley to garnish, or with a dollop of creme fraiche on the side for the final few minutes of cooking to allow the sauce to thicken as it cools. Garnish with freshly grated Parmesan cheese and fresh lemon zest if you like. Enjoy!
 <|endofrecipe|>"
29,"AppleCranberry Sauce <|startofingre|> 1 (12 ounce) package fresh or frozen cranberries, 1 cup white sugar, 2 tablespoons cornstarch, 3/4 cup water, <|startofinstruc|> In a saucepan over medium heat, stir together the sugar and corn starch. Gradually stir in the water. Bring to a boil, then reduce heat to medium-low, and simmer for 10 minutes, stirring occasionally. Remove from heat and allow to cool to room temperature before serving.
 <|endofrecipe|>"
30,"Amish Shortbread Cookies <|startofingre|> 1 cup butter, softened, 1 cup white sugar, 2 teaspoons vanilla extract, 4 cups all-purpose flour, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
In a large bowl, cream together the butter and sugar until smooth. Stir in the vanilla. Combine the flour and baking powder; stir into the creamed mixture until well blended. Roll dough into walnut sized balls and place them 2 inches apart onto ungreased cookie sheets. Flatten slightly using the bottom of a glass dipped in sugar.
Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to finish cooling on wire racks. Store in an airtight container for up to 2 weeks. These cookies keep well for several weeks in a cool, dry place, so be sure to remove any unmelted cookies that may be stuck to the sides of the pan before they are done. If you are not using immediately, you can refrigerate them until ready to eat them. They keep for a week in resealable plastic bag and can be stored at room temperature for future use. It will keep very well. You can also freeze them for another week if you will do this one week, but can do it for the next day, or freeze it in two weeks, and keep the other dishes, then keep them to thawed for months. The next to all of time. I'mores. This recipe is a great on the recipes that way to my family is to me, if it, which is the first one of your favorite ingredients. Enjoy it is not for all the ""s. <|endofrecipe|>"
31,"Creamy Cauliflower Soup <|startofingre|> 1 head cauliflower, cut into florets, 2 tablespoons butter, 1/4 cup all-purpose flour, 3 cups milk, salt and ground black pepper to taste, <|startofinstruc|> Place a steamer insert into a saucepan and fill with water to just below the bottom of the steaming water. Cover and bring to a boil over high heat. Reduce heat to medium-low, cover, and steam until tender, 10 to 15 minutes.
Melt butter in a large pot over medium heat; whisk flour into melted butter until smooth. Slowly pour milk into flour mixture while whisking constantly until mixture is thickened and bubbling, 5 to 10 minutes more. Season soup with salt, pepper and more milk, if desired, until desired consistency is reached. Ladle soup into serving bowls and garnish each serving with a dollop of butter and a sprinkling of flour to serve;
 <|endofrecipe|>"
32,"Garlic-Herb Roasted Potatoes <|startofingre|> 1 1/2 pounds small red-skinned potatoes (yams), scrubbed, 2 tablespoons olive oil, 1 tablespoon chopped fresh rosemary, <|startofinstruc|> Preheat oven to 400°F. Place potatoes in large bowl. Drizzle oil over. Sprinkle with salt and pepper. Toss to coat. Spread potatoes out in single layer on rimmed baking sheet. Roast potatoes until tender and golden brown, stirring occasionally, about 45 minutes. Transfer potatoes to platter and serve warm or at room temperature.; <|endofrecipe|>"
33,"Grilled Vegetable Salad <|startofingre|> 1/2 cup olive oil, 1/4 cup balsamic vinegar, 2 tablespoons chopped fresh thyme, Kosher salt and freshly ground black pepper, 4 medium zucchini, trimmed, halved lengthwise, and cut crosswise into 1-inch-thick slices, 3 medium red bell peppers, cored, seeded and thinly sliced, 8 ounces cremini mushrooms, stemmed and quartered (about 2 cups), 1 small red onion, cut into wedges, <|startofinstruc|> Watch how to make this recipe.
In a large bowl, whisk together the first 6 ingredients. Add the vegetables and toss to coat. Cover and refrigerate for at least 30 minutes to allow the flavors to meld. Serve at room temperature. <|endofrecipe|>"
34,"Buffalo Chicken Dip <|startofingre|> 1 (8 ounce) package cream cheese, softened, 1/2 cup hot pepper sauce (such as Frank's RedHot®), 2 tablespoons Worcestershire sauce, 3/4 cup shredded Cheddar cheese, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
Stir together the mayonnaise and hot sauce in a bowl until smooth. Stir in the cheese until well blended. Spread the mixture into a 9x13-inch baking dish.
Bake in preheated oven until bubbly and lightly browned, about 20 minutes. Serve warm with crackers or celery sticks. Enjoy!
 <|endofrecipe|>"
35,"Salsa Verde <|startofingre|> 1 pound tomatillos, husked, rinsed, and cut into 1/2-inch pieces, 1 serrano chile, stemmed, seeded if desired and minced (wear rubber gloves), 1 garlic clove, minced, 2 tablespoons fresh lime juice, 3/4 teaspoon salt, or to taste, <|startofinstruc|> In a blender purée all ingredients with salt until smooth. Sauce may be made 1 day ahead and chilled, covered. Bring sauce to room temperature before serving. Serve sauce with tortilla chips or grilled vegetables.; <|endofrecipe|>"
36,"QuickChocolate Chip Cookies <|startofingre|> 1 1/2 cups all-purpose flour, 1 teaspoon baking soda, 3/4 teaspoon salt, 2 sticks (1 cup) unsalted butter, at room temperature, 4 ounces semisweet chocolate, finely chopped (about 1 cup), 2/3 cup granulated sugar, plus more for sprinkling, 5 large eggs, separated, <|startofinstruc|> Preheat the oven to 350 degrees F. Line 2 baking sheets with parchment paper.
Whisk the flour with the baking powder, salt and butter in a medium bowl. Beat the egg yolks in another bowl with a mixer on medium-high speed until pale and thick, about 2 minutes. Reduce the mixer speed to low; add the chocolate and beat until smooth. Add the sugar and continue beating until the mixture is light and fluffy, scraping down the sides of the bowl as needed. The mixture should be noticeably lighter in color. Gradually beat in the yolk mixture, then the whites in 2 additions, beating just until incorporated. Divide the dough in half. Roll each half into a log, wrap in plastic wrap and refrigerate until firm, 8 hours or up to 1 day. (the next day).
Cut each log into 1-inch-thick slices and place on the prepared baking sheet. Bake until golden brown around the edges. Transfer to a rack. Let cool completely. Store in an airtight containers. <|endofrecipe|>"
37,"Chewy Peanut Butter Cookies <|startofingre|> 1 cup butter, softened, 1/2 cup peanut butter, 2 cups all-purpose flour, 3/4 cup confectioners' sugar, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.
In a large bowl, cream together the butter or margarine and peanut or butter until smooth. Stir in the flour a little at a time, mixing well after each addition. Roll the dough into walnut sized balls and place them 2 inches apart onto the prepared cookie sheet. Flatten slightly with the bottom of a glass dipped in sugar. Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to finish cooling on wire racks. Store in an airtight container for up to 2 weeks. These cookies keep well for several weeks in a cool, dry place, so be sure to remove any unmelted cookies that stick to the pan before they are done. You can also do this by dipping your hands in boiling water for a pot of simmering water until you are ready to eat them. If you don't have a thermometer, you can make sure it. It's right away!
 <|endofrecipe|>"
38,"ChickenCreamed Spinach <|startofingre|> 1 (10 ounce) package frozen chopped spinach, thawed and drained, 1/4 cup butter, 2 tablespoons all-purpose flour, 3 cups milk, salt and pepper to taste, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
In a medium saucepan over medium heat, melt butter. Stir in flour until smooth. Gradually stir in milk. Bring to a boil, then reduce heat to low and simmer, stirring constantly, until thickened, about 10 minutes. Remove from heat.
Transfer spinach mixture to an 8x8 inch baking dish. Season with salt, pepper and a little salt. Cover with foil and bake in the preheated oven for 45 minutes, or until heated through and lightly browned. Serve warm or at room temperature, with crackers or on the side of the dish as a topping for your favorite dippers!
 <|endofrecipe|>"
39,"Creamy Cauliflower Soup <|startofingre|> 1 head cauliflower, cut into florets, 2 tablespoons butter, 1/4 cup all-purpose flour, 3 cups milk, salt and ground black pepper to taste, <|startofinstruc|> Place a steamer insert into a saucepan and fill with water to just below the bottom of the steaming water. Cover and bring to a boil over high heat. Reduce heat to medium-low, cover, and steam until tender, 10 to 15 minutes.
Melt butter in a large pot over medium heat; whisk flour into melted butter until smooth. Slowly pour milk into flour mixture while whisking constantly until mixture is thickened and bubbling, 5 to 10 minutes more. Season soup with salt, pepper and more milk, if desired, until desired consistency is reached. Ladle soup into serving bowls and garnish each serving with a dollop of butter and a sprinkling of flour to serve;
 <|endofrecipe|>"
40,"Banana Bread <|startofingre|> 2 cups all-purpose flour, 2 teaspoons baking powder, 1/2 teaspoon salt, 3/4 cup butter, softened, 4 eggs, beaten, 5 bananas, mashed, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Lightly grease two 9x5 inch loaf pans.
In a large bowl, stir together flour, baking soda, and salt. In a separate bowl beat together butter and eggs until light and fluffy. Stir flour mixture into butter mixture until just combined. Fold in bananas. Pour batter into prepared pans, dividing evenly. Bake in preheated oven for 50 to 60 minutes, or until a toothpick inserted into the center of the loaf comes out clean. Cool in pans for 10 minutes before removing to a wire rack to cool completely. Serve warm or at room temperature with whipped cream or vanilla ice cream, if desired
 <|endofrecipe|>"
41,"Quinoa Salad <|startofingre|> 1 1/2 cups water, 1 cup uncooked white rice, 2 cups frozen green peas, thawed, 3/4 cup chopped red bell pepper, 4 green onions, chopped, white parts and tops separated from green tops, salt and ground black pepper to taste, <|startofinstruc|> Bring water and rice to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until the rice is tender and the liquid has been absorbed, 20 to 25 minutes. Remove from heat and let stand, covered, for 5 minutes; fluff with a fork.
Stir peas and red pepper into the cooked rice. Season with green onion tops and season with salt. Chill in refrigerator until chilled, at least 30 minutes and up to 1 hour. Stir before serving. Sprinkle with additional salt, pepper, or more pepper if you like your salad spicy!
 <|endofrecipe|>"
42,"EasyCranberry Sauce <|startofingre|> 1 (12 ounce) package fresh or frozen cranberries, 1 cup white sugar, 2 tablespoons cornstarch, 3/4 cup water, <|startofinstruc|> In a medium saucepan over medium heat, stir together the sugar, corn starch and water. Bring to a boil, then reduce heat to low and simmer for 10 minutes, stirring occasionally. Remove from heat and allow to cool to room temperature before using.
 <|endofrecipe|>"
43,"SlowCreamed Spinach <|startofingre|> 1 (10 ounce) package frozen chopped spinach, thawed and drained, 1/4 cup butter, 2 tablespoons all-purpose flour, 3 cups milk, salt and pepper to taste, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.
In a medium saucepan over medium heat, melt butter. Stir in flour until smooth. Gradually stir in milk. Bring to a boil, then reduce heat to low and simmer, stirring constantly, until thickened, about 5 minutes. Season with salt, pepper and spinach. Pour into prepared dish and bake in preheated oven for 35 to 40 minutes, or until heated through and lightly browned. Serve warm or at room temperature!
 <|endofrecipe|>"
